"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-31,2026-09-10,"Kit | Summer on site",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shorts | Still waiting",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shirt | Ticks every box",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"DPA | Safety Footwear | Delivery Driver",active,,,,"Using campaign budget",0,3.89,46,37,1.243243,84.565217,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,3,6.521739,1.296667,3,1,,,
2026-08-31,2026-09-10,"DPA | Protex1 Range | Tradie",active,,,,"Using campaign budget",0,8.02,118,97,1.216495,67.966102,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,1,0.847458,8.02,1,1,,,
2026-08-31,2026-09-10,"DPA | Shorts | Tradie",active,,,,"Using campaign budget",0,0.63,21,19,1.105263,30,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,1,4.761905,0.315,1,1,,,
2026-08-31,2026-09-10,"DPA | Jackets | Partner Persona",active,,,,"Using campaign budget",0,13.34,234,179,1.307263,57.008547,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,9,3.846154,1.212727,9,7,,1,
2026-08-31,2026-09-10,"Jacket | Video 1",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Jacket | Video 2",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"DPA | Jackets | Video 1",active,1,actions:offsite_conversion.fb_pixel_purchase,29.93,"Using campaign budget",0,29.93,500,330,1.515152,59.86,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",11.328433,1,339.06,action_values:offsite_conversion.fb_pixel_purchase,18,3.6,1.301304,51,19,1,1,9
2026-08-31,2026-09-10,"DPA | Jackets | Video 2",active,,,,"Using campaign budget",0,11.46,253,190,1.331579,45.296443,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,4,1.581028,1.91,15,3,,,4
